name,energy_kcal,protein_g,fat_g,carbohydrate_g,sugar_g
lovamil minuman khusus ibu hamil dan menyusui rasa kacang hijau,0.0935672514619883,0.006666666666666667,0.014634146341463414,0.052854122621564484,0.0
Wortel kukus,0.021637426900584796,0.0008333333333333334,0.002926829268292683,0.01754756871035941,0.0
Mie bendo,0.2064327485380117,0.00025,0.0,0.18604651162790697,0.0
Cheesecake Factory oreo milkshake,0.9824561403508772,0.022500000000000003,0.4585365853658537,0.386892177589852,0.9776119402985074
Roma Marie Gold,0.052631578947368425,0.0016666666666666668,0.014634146341463414,0.03171247357293869,0.0298507462686567
Supermi Extra Mie Goreng rasa Ayam pangsit,0.2982456140350877,0.008333333333333333,0.1024390243902439,0.14799154334038056,0.0
Buah mentega (Bisbul),0.00023391812865497077,0.0325,0.0473170731707317,0.0014799154334038055,0.0014925373134328
Karedok,0.0008187134502923977,0.07666666666666667,0.06878048780487804,0.004651162790697675,0.0246268656716417
Mie sedap instan goreng kriuk,0.0935672514619883,0.007500000000000001,0.08780487804878048,0.12050739957716702,0.044776119402985
Ice Cone,0.11111111111111112,0.004166666666666667,0.02195121951219512,0.06765327695560254,0.1791044776119403
Ikan Balong,0.0008771929824561404,0.08916666666666667,0.007317073170731707,0.03488372093023256,0.0291044776119402
TOPOKI Mujigae,0.23976608187134504,0.009166666666666667,0.03414634146341464,0.1649048625792812,0.0
ABC EXO milk coffe,0.0935672514619883,0.006666666666666667,0.11707317073170731,0.05073995771670191,0.1641791044776119
Kalio jeroan,0.0008771929824561404,0.13583333333333333,0.019999999999999997,0.03488372093023256,0.0671641791044776
Starbucks butter croissant,0.15204678362573099,0.004166666666666667,0.07317073170731707,0.05708245243128964,0.0373134328358208
Daun mengkudu,0.0011695906432748538,0.05416666666666667,0.055609756097560976,0.008456659619450317,0.0126865671641791
Sagu sinole,0.20701754385964913,0.0006666666666666668,0.04048780487804878,0.14566596194503173,0.0
Nasi rames,0.09064327485380116,0.008583333333333335,0.02048780487804878,0.04038054968287527,0.0
MAESTRO MAYONAISE,0.052631578947368425,0.0,0.04390243902439024,0.004228329809725159,0.0
Susu Ultra Milk Low Fat,0.052631578947368425,0.005833333333333334,0.012195121951219513,0.023255813953488372,0.0
Ikan Baronang,0.0007017543859649122,0.065,0.01804878048780488,0.0306553911205074,0.0044776119402985
ROYCO BUMBU AYAM SAUS TELUR ASIN,0.017543859649122806,0.0008333333333333334,0.007317073170731707,0.004228329809725159,0.0
Keju parmesan,0.2456140350877193,0.023683333333333337,0.1358048780487805,0.02940803382663848,0.0
Beras cerdas,0.20467836257309943,0.0022500000000000003,0.005365853658536586,0.17399577167019029,0.0
Indomie Goreng Rasa Rendang,0.08771929824561403,0.007500000000000001,0.07804878048780488,0.12473572938689219,0.0671641791044776
